_id,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
2003,3,2,ACEPTABLE,18471,2022-10-06T00:00:00Z
2004,3,2,ACEPTABLE,5213834,2021-01-20T00:00:00Z
2005,3,2,ACEPTABLE,18310,2023-02-17T00:00:00Z
2006,1,1,DEFICIENTE,7126577,2022-02-09T00:00:00Z
2007,1,1,DEFICIENTE,17422,2023-09-16T00:00:00Z
2008,2,2,ACEPTABLE,52164,2023-02-13T00:00:00Z
2009,5,4,EXCELENTE,52148,2021-08-06T00:00:00Z
2010,4,3,MUY BUENO,18421,2022-01-27T00:00:00Z
2011,3,3,MUY BUENO,18345,2022-02-23T00:00:00Z
2012,5,4,EXCELENTE,5213832,2021-06-11T00:00:00Z
2013,5,4,EXCELENTE,17819,2022-10-25T00:00:00Z
2014,2,2,ACEPTABLE,3568959,2023-11-04T00:00:00Z
2015,1,1,DEFICIENTE,17347,2021-06-02T00:00:00Z
2016,5,5,EXCELENTE,18629,2021-09-27T00:00:00Z
2017,5,4,EXCELENTE,18311,2022-04-06T00:00:00Z
2018,1,1,DEFICIENTE,17748,2021-11-14T00:00:00Z
2019,4,5,EXCELENTE,17350,2021-05-29T00:00:00Z
2020,4,3,MUY BUENO,5174720,2021-08-06T00:00:00Z
2021,5,5,EXCELENTE,17325,2021-11-06T00:00:00Z
2022,2,1,REGULAR,18382,2023-03-25T00:00:00Z
2023,5,5,EXCELENTE,5209117,2021-11-01T00:00:00Z
2024,1,2,REGULAR,17030,2022-03-16T00:00:00Z
2025,5,4,EXCELENTE,17629,2023-02-13T00:00:00Z
2026,5,5,EXCELENTE,16840,2021-04-09T00:00:00Z
2027,1,1,DEFICIENTE,5195676,2023-05-18T00:00:00Z
2028,5,5,EXCELENTE,18196,2023-03-05T00:00:00Z
2029,5,5,EXCELENTE,5220720,2023-01-14T00:00:00Z
2030,3,3,MUY BUENO,17827,2022-05-20T00:00:00Z
2031,5,4,EXCELENTE,3566353,2022-12-31T00:00:00Z
2032,4,3,MUY BUENO,16685,2021-05-18T00:00:00Z
2033,1,1,DEFICIENTE,18317,2021-08-01T00:00:00Z
2034,5,5,EXCELENTE,18540,2023-12-06T00:00:00Z
2035,3,3,MUY BUENO,7182696,2021-02-15T00:00:00Z
2036,1,2,REGULAR,18453,2021-07-08T00:00:00Z
2037,3,4,MUY BUENO,17653,2022-09-24T00:00:00Z
2038,1,2,REGULAR,18013,2021-11-01T00:00:00Z
2039,4,4,EXCELENTE,17454,2021-05-15T00:00:00Z
2040,3,3,MUY BUENO,52101,2023-01-08T00:00:00Z
2041,5,5,EXCELENTE,18246,2022-12-05T00:00:00Z
2042,5,5,EXCELENTE,17103,2022-09-23T00:00:00Z
2043,1,2,REGULAR,18578,2023-12-01T00:00:00Z
2044,2,1,REGULAR,18169,2021-11-12T00:00:00Z
2045,1,2,REGULAR,16867,2022-02-27T00:00:00Z
2046,4,5,EXCELENTE,17470,2021-06-08T00:00:00Z
2047,2,2,ACEPTABLE,17242,2021-05-26T00:00:00Z
2048,4,3,MUY BUENO,18491,2021-04-24T00:00:00Z
2049,4,3,MUY BUENO,4738111,2022-09-03T00:00:00Z
2050,5,5,EXCELENTE,16718,2021-04-13T00:00:00Z
2051,2,3,ACEPTABLE,17614,2022-10-09T00:00:00Z
2052,3,2,ACEPTABLE,8799603,2022-06-29T00:00:00Z
2053,3,2,ACEPTABLE,18290,2023-02-07T00:00:00Z
2054,1,2,REGULAR,17857,2023-09-24T00:00:00Z
2055,3,3,MUY BUENO,52125,2021-10-26T00:00:00Z
2056,4,4,EXCELENTE,16862,2022-10-20T00:00:00Z
2057,4,3,MUY BUENO,17695,2023-09-07T00:00:00Z
2058,3,4,MUY BUENO,18193,2023-08-07T00:00:00Z
2059,3,3,MUY BUENO,18019,2023-05-12T00:00:00Z
2060,5,5,EXCELENTE,17255,2021-12-31T00:00:00Z
2061,3,2,ACEPTABLE,18247,2023-10-25T00:00:00Z
2062,4,3,MUY BUENO,18438,2022-07-02T00:00:00Z
2063,3,4,MUY BUENO,5178801,2023-05-02T00:00:00Z
2064,3,3,MUY BUENO,18281,2021-04-09T00:00:00Z
2065,2,2,ACEPTABLE,17107,2021-08-28T00:00:00Z
2066,4,4,EXCELENTE,8799603,2021-06-17T00:00:00Z
2067,1,2,REGULAR,18325,2023-03-12T00:00:00Z
2068,5,4,EXCELENTE,17050,2021-01-27T00:00:00Z
2069,3,2,ACEPTABLE,5241172,2023-11-25T00:00:00Z
2070,1,1,DEFICIENTE,7107694,2022-11-05T00:00:00Z
2071,4,5,EXCELENTE,18085,2022-02-17T00:00:00Z
2072,3,2,ACEPTABLE,5199521,2022-10-11T00:00:00Z
2073,5,5,EXCELENTE,17335,2022-03-16T00:00:00Z
2074,5,4,EXCELENTE,16955,2023-10-20T00:00:00Z
2075,2,2,ACEPTABLE,17648,2023-09-24T00:00:00Z
2076,1,1,DEFICIENTE,16739,2023-11-10T00:00:00Z
2077,4,5,EXCELENTE,52061,2021-10-11T00:00:00Z
2078,1,1,DEFICIENTE,5218552,2021-02-16T00:00:00Z
2079,3,4,MUY BUENO,17950,2023-04-14T00:00:00Z
2080,1,2,REGULAR,16771,2022-09-29T00:00:00Z
2081,3,4,MUY BUENO,17614,2021-01-12T00:00:00Z
2082,4,3,MUY BUENO,9187543,2021-12-26T00:00:00Z
2083,3,3,MUY BUENO,17321,2022-03-20T00:00:00Z
2084,3,2,ACEPTABLE,7168609,2023-03-01T00:00:00Z
2085,3,3,MUY BUENO,5237111,2023-12-15T00:00:00Z
2086,5,5,EXCELENTE,5237120,2021-09-21T00:00:00Z
2087,5,5,EXCELENTE,7838817,2021-03-12T00:00:00Z
2088,4,4,EXCELENTE,18205,2023-09-03T00:00:00Z
2089,1,1,DEFICIENTE,8907324,2021-05-17T00:00:00Z
2090,3,4,MUY BUENO,7861611,2022-08-03T00:00:00Z
2091,1,1,DEFICIENTE,16755,2021-01-06T00:00:00Z
2092,1,1,DEFICIENTE,17642,2022-09-25T00:00:00Z
2093,4,4,EXCELENTE,17396,2021-06-23T00:00:00Z
2094,2,1,REGULAR,16851,2021-09-11T00:00:00Z
2095,5,5,EXCELENTE,18493,2023-09-15T00:00:00Z
2096,1,1,DEFICIENTE,17907,2021-08-06T00:00:00Z
2097,2,2,ACEPTABLE,18211,2022-09-30T00:00:00Z
2098,1,1,DEFICIENTE,5166868,2021-11-19T00:00:00Z
2099,1,1,DEFICIENTE,3531283,2023-01-18T00:00:00Z
2100,4,4,EXCELENTE,17793,2022-01-02T00:00:00Z
2101,2,3,ACEPTABLE,5237133,2022-05-27T00:00:00Z
2102,3,2,ACEPTABLE,17131,2022-12-05T00:00:00Z
2103,4,5,EXCELENTE,18266,2021-11-06T00:00:00Z
2104,2,2,ACEPTABLE,7180264,2023-11-30T00:00:00Z
2105,5,5,EXCELENTE,52086,2022-01-09T00:00:00Z
2106,2,2,ACEPTABLE,16728,2022-08-20T00:00:00Z
2107,4,3,MUY BUENO,17660,2021-02-11T00:00:00Z
2108,5,4,EXCELENTE,18629,2022-06-03T00:00:00Z
2109,4,3,MUY BUENO,52182,2021-03-10T00:00:00Z
2110,2,2,ACEPTABLE,5240107,2021-06-19T00:00:00Z
2111,2,2,ACEPTABLE,8914010,2021-11-20T00:00:00Z
2112,5,5,EXCELENTE,52180,2021-01-15T00:00:00Z
2113,3,4,MUY BUENO,17874,2023-02-08T00:00:00Z
2114,1,2,REGULAR,7591607,2023-07-05T00:00:00Z
2115,4,4,EXCELENTE,7126585,2021-12-29T00:00:00Z
2116,1,1,DEFICIENTE,17248,2021-10-02T00:00:00Z
2117,1,2,REGULAR,18458,2021-06-02T00:00:00Z
2118,3,3,MUY BUENO,7107695,2022-10-10T00:00:00Z
2119,5,5,EXCELENTE,5654057,2021-03-21T00:00:00Z
2120,5,5,EXCELENTE,18061,2022-04-01T00:00:00Z
2121,1,1,DEFICIENTE,17033,2022-12-12T00:00:00Z
2122,5,5,EXCELENTE,17405,2023-10-02T00:00:00Z
2123,4,5,EXCELENTE,5237126,2021-04-05T00:00:00Z
2124,4,4,EXCELENTE,5197210,2021-02-03T00:00:00Z
2125,5,4,EXCELENTE,17653,2023-03-25T00:00:00Z
2126,3,3,MUY BUENO,3531279,2022-04-09T00:00:00Z
2127,3,2,ACEPTABLE,17755,2022-04-28T00:00:00Z
2128,4,3,MUY BUENO,17729,2022-02-14T00:00:00Z
2129,1,1,DEFICIENTE,5654059,2021-10-25T00:00:00Z
2130,5,5,EXCELENTE,7126577,2023-07-15T00:00:00Z
2131,2,3,ACEPTABLE,18099,2021-02-06T00:00:00Z
2132,2,1,REGULAR,3558513,2023-08-19T00:00:00Z
2133,1,1,DEFICIENTE,4796512,2022-11-14T00:00:00Z
2134,4,3,MUY BUENO,5246192,2023-07-18T00:00:00Z
2135,2,2,ACEPTABLE,17796,2022-11-26T00:00:00Z
2136,4,3,MUY BUENO,18496,2022-03-18T00:00:00Z
2137,4,4,EXCELENTE,18157,2023-03-09T00:00:00Z
2138,2,2,ACEPTABLE,16717,2022-09-16T00:00:00Z
2139,1,1,DEFICIENTE,7882665,2023-08-06T00:00:00Z
2140,2,3,ACEPTABLE,17789,2022-02-02T00:00:00Z
2141,2,2,ACEPTABLE,18340,2021-06-09T00:00:00Z
2142,4,5,EXCELENTE,17614,2023-09-26T00:00:00Z
2143,1,1,DEFICIENTE,17300,2023-02-28T00:00:00Z
2144,4,3,MUY BUENO,7248182,2022-11-16T00:00:00Z
2145,1,1,DEFICIENTE,17507,2022-07-17T00:00:00Z
2146,5,4,EXCELENTE,18003,2023-09-01T00:00:00Z
2147,1,2,REGULAR,3568959,2023-03-26T00:00:00Z
2148,5,5,EXCELENTE,17049,2021-04-21T00:00:00Z
2149,1,1,DEFICIENTE,16841,2023-04-13T00:00:00Z
2150,2,1,REGULAR,17259,2022-05-09T00:00:00Z
2151,4,5,EXCELENTE,17903,2023-01-01T00:00:00Z
2152,2,1,REGULAR,9424149,2022-10-24T00:00:00Z
2153,4,5,EXCELENTE,17178,2023-07-28T00:00:00Z
2154,4,4,EXCELENTE,17404,2022-05-13T00:00:00Z
2155,1,1,DEFICIENTE,3568168,2022-08-24T00:00:00Z
2156,4,4,EXCELENTE,16915,2022-05-07T00:00:00Z
2157,5,4,EXCELENTE,17409,2022-10-27T00:00:00Z
2158,1,2,REGULAR,17371,2023-04-29T00:00:00Z
2159,5,5,EXCELENTE,17035,2021-11-27T00:00:00Z
2160,3,3,MUY BUENO,18111,2023-04-29T00:00:00Z
2161,1,2,REGULAR,17124,2023-10-29T00:00:00Z
2162,1,1,DEFICIENTE,17211,2022-05-17T00:00:00Z
2163,2,3,ACEPTABLE,18267,2022-11-24T00:00:00Z
2164,5,4,EXCELENTE,5204992,2022-03-28T00:00:00Z
2165,1,2,REGULAR,7129053,2021-09-11T00:00:00Z
2166,5,5,EXCELENTE,3568695,2021-10-27T00:00:00Z
2167,3,3,MUY BUENO,52121,2022-02-02T00:00:00Z
2168,3,2,ACEPTABLE,52142,2022-01-24T00:00:00Z
2169,3,2,ACEPTABLE,17952,2023-09-22T00:00:00Z
2170,1,1,DEFICIENTE,17171,2022-02-09T00:00:00Z
2171,3,3,MUY BUENO,17884,2021-03-08T00:00:00Z
2172,4,5,EXCELENTE,17303,2021-11-30T00:00:00Z
2173,4,5,EXCELENTE,17301,2022-09-07T00:00:00Z
2174,3,4,MUY BUENO,18469,2023-02-13T00:00:00Z
2175,3,2,ACEPTABLE,18332,2023-10-17T00:00:00Z
2176,2,2,ACEPTABLE,18568,2022-11-10T00:00:00Z
2177,2,3,ACEPTABLE,17249,2021-12-08T00:00:00Z
2178,2,2,ACEPTABLE,18113,2022-07-11T00:00:00Z
2179,2,3,ACEPTABLE,52054,2022-11-17T00:00:00Z
2180,4,3,MUY BUENO,17216,2022-04-05T00:00:00Z
2181,1,2,REGULAR,17033,2023-06-03T00:00:00Z
2182,5,5,EXCELENTE,17920,2023-12-04T00:00:00Z
2183,4,5,EXCELENTE,5220866,2022-08-15T00:00:00Z
2184,5,5,EXCELENTE,8909095,2023-06-16T00:00:00Z
2185,1,1,DEFICIENTE,17288,2022-11-26T00:00:00Z
2186,3,3,MUY BUENO,18477,2022-01-08T00:00:00Z
2187,2,3,ACEPTABLE,17344,2021-08-05T00:00:00Z
2188,3,2,ACEPTABLE,18534,2022-07-08T00:00:00Z
2189,2,2,ACEPTABLE,18225,2022-03-29T00:00:00Z
2190,1,1,DEFICIENTE,5219924,2022-08-22T00:00:00Z
2191,3,3,MUY BUENO,52044,2022-07-23T00:00:00Z
2192,1,2,REGULAR,6819627,2022-09-09T00:00:00Z
2193,2,2,ACEPTABLE,17327,2023-09-16T00:00:00Z
2194,5,5,EXCELENTE,17056,2021-10-22T00:00:00Z
2195,5,4,EXCELENTE,16929,2023-12-22T00:00:00Z
2196,1,1,DEFICIENTE,52195,2022-10-30T00:00:00Z
2197,3,2,ACEPTABLE,17966,2021-03-21T00:00:00Z
2198,4,4,EXCELENTE,17416,2022-07-24T00:00:00Z
2199,3,2,ACEPTABLE,6819612,2022-01-01T00:00:00Z
2200,3,3,MUY BUENO,16898,2022-12-13T00:00:00Z
2201,2,2,ACEPTABLE,17940,2022-03-15T00:00:00Z
2202,1,1,DEFICIENTE,18363,2023-04-27T00:00:00Z
2203,1,2,REGULAR,3962563,2021-11-30T00:00:00Z
2204,2,3,ACEPTABLE,52159,2022-01-26T00:00:00Z
2205,3,4,MUY BUENO,18347,2023-06-19T00:00:00Z
2206,4,3,MUY BUENO,17528,2023-07-12T00:00:00Z
2207,3,3,MUY BUENO,8909085,2022-02-25T00:00:00Z
2208,4,3,MUY BUENO,6819614,2021-10-11T00:00:00Z
2209,1,1,DEFICIENTE,17464,2021-02-08T00:00:00Z
2210,4,3,MUY BUENO,52130,2021-02-18T00:00:00Z
2211,5,5,EXCELENTE,52065,2023-04-08T00:00:00Z
2212,5,5,EXCELENTE,5211511,2022-08-03T00:00:00Z
2213,5,5,EXCELENTE,16923,2021-07-02T00:00:00Z
2214,4,3,MUY BUENO,17091,2021-07-04T00:00:00Z
2215,3,3,MUY BUENO,17396,2021-10-30T00:00:00Z
2216,1,1,DEFICIENTE,17976,2023-08-16T00:00:00Z
2217,2,1,REGULAR,17465,2021-11-25T00:00:00Z
2218,2,3,ACEPTABLE,17680,2023-06-21T00:00:00Z
2219,5,5,EXCELENTE,17903,2023-03-29T00:00:00Z
2220,5,4,EXCELENTE,18235,2023-02-11T00:00:00Z
2221,4,3,MUY BUENO,17804,2023-12-31T00:00:00Z
2222,5,5,EXCELENTE,52132,2021-11-24T00:00:00Z
2223,1,1,DEFICIENTE,7927289,2022-10-07T00:00:00Z
2224,2,2,ACEPTABLE,7125670,2023-09-28T00:00:00Z
2225,5,4,EXCELENTE,7059771,2023-11-15T00:00:00Z
2226,1,2,REGULAR,17564,2023-03-13T00:00:00Z
2227,1,1,DEFICIENTE,7248141,2022-04-17T00:00:00Z
2228,5,4,EXCELENTE,5241173,2022-01-04T00:00:00Z
2229,4,4,EXCELENTE,17539,2023-03-16T00:00:00Z
2230,3,2,ACEPTABLE,18531,2022-02-28T00:00:00Z
2231,2,1,REGULAR,5240107,2022-09-17T00:00:00Z
2232,3,4,MUY BUENO,52074,2023-02-27T00:00:00Z
2233,1,2,REGULAR,17648,2023-12-21T00:00:00Z
2234,5,4,EXCELENTE,18192,2023-03-13T00:00:00Z
2235,5,4,EXCELENTE,17980,2022-03-08T00:00:00Z
2236,3,3,MUY BUENO,17341,2022-05-28T00:00:00Z
2237,2,3,ACEPTABLE,18613,2022-01-27T00:00:00Z
2238,2,2,ACEPTABLE,18512,2021-01-01T00:00:00Z
2239,2,2,ACEPTABLE,17891,2021-04-13T00:00:00Z
2240,3,4,MUY BUENO,52208,2021-02-11T00:00:00Z
2241,2,2,ACEPTABLE,3566376,2021-01-30T00:00:00Z
2242,2,3,ACEPTABLE,5241181,2022-05-03T00:00:00Z
2243,5,5,EXCELENTE,17062,2022-12-31T00:00:00Z
2244,3,4,MUY BUENO,16714,2021-02-18T00:00:00Z
2245,2,3,ACEPTABLE,17557,2023-03-05T00:00:00Z
2246,3,2,ACEPTABLE,17261,2021-06-04T00:00:00Z
2247,1,2,REGULAR,52068,2021-01-17T00:00:00Z
2248,2,1,REGULAR,17666,2021-05-20T00:00:00Z
2249,1,1,DEFICIENTE,17952,2023-07-18T00:00:00Z
2250,4,5,EXCELENTE,16905,2022-04-27T00:00:00Z
2251,1,1,DEFICIENTE,17114,2022-09-02T00:00:00Z
2252,1,2,REGULAR,16955,2021-08-04T00:00:00Z
2253,4,5,EXCELENTE,52902,2022-04-04T00:00:00Z
2254,2,1,REGULAR,18427,2021-10-12T00:00:00Z
2255,2,1,REGULAR,52191,2022-06-13T00:00:00Z
2256,2,1,REGULAR,52201,2023-10-02T00:00:00Z
2257,5,5,EXCELENTE,7280401,2022-11-10T00:00:00Z
2258,3,2,ACEPTABLE,18544,2021-04-17T00:00:00Z
2259,4,4,EXCELENTE,17730,2022-06-09T00:00:00Z
2260,1,1,DEFICIENTE,17609,2021-12-01T00:00:00Z
2261,5,5,EXCELENTE,17514,2022-10-12T00:00:00Z
2262,4,5,EXCELENTE,7125612,2022-04-25T00:00:00Z
2263,3,3,MUY BUENO,18011,2021-12-13T00:00:00Z
2264,3,2,ACEPTABLE,17819,2023-01-30T00:00:00Z
2265,1,2,REGULAR,17004,2023-10-20T00:00:00Z
2266,2,2,ACEPTABLE,4989388,2021-06-27T00:00:00Z
2267,4,3,MUY BUENO,18579,2022-07-29T00:00:00Z
2268,5,5,EXCELENTE,17700,2023-08-23T00:00:00Z
2269,3,2,ACEPTABLE,3994618,2023-09-13T00:00:00Z
2270,1,1,DEFICIENTE,17467,2021-02-19T00:00:00Z
2271,4,3,MUY BUENO,52177,2023-04-21T00:00:00Z
2272,4,4,EXCELENTE,17414,2021-09-11T00:00:00Z
2273,1,1,DEFICIENTE,16930,2023-11-16T00:00:00Z
2274,5,5,EXCELENTE,18061,2023-01-11T00:00:00Z
2275,4,5,EXCELENTE,16750,2023-09-18T00:00:00Z
2276,3,2,ACEPTABLE,18625,2021-07-24T00:00:00Z
2277,4,3,MUY BUENO,17897,2021-04-07T00:00:00Z
2278,4,5,EXCELENTE,16751,2023-10-21T00:00:00Z
2279,1,1,DEFICIENTE,7840483,2022-01-05T00:00:00Z
2280,1,1,DEFICIENTE,16716,2023-06-05T00:00:00Z
2281,4,3,MUY BUENO,8799950,2021-03-19T00:00:00Z
2282,1,1,DEFICIENTE,3573208,2023-04-14T00:00:00Z
2283,3,3,MUY BUENO,16942,2022-11-13T00:00:00Z
2284,1,1,DEFICIENTE,17503,2023-01-08T00:00:00Z
2285,5,5,EXCELENTE,17891,2021-06-15T00:00:00Z
2286,5,5,EXCELENTE,16946,2023-09-01T00:00:00Z
2287,5,5,EXCELENTE,7247916,2022-12-13T00:00:00Z
2288,2,3,ACEPTABLE,18142,2023-03-10T00:00:00Z
2289,4,5,EXCELENTE,18611,2022-03-13T00:00:00Z
2290,3,4,MUY BUENO,16864,2023-07-07T00:00:00Z
2291,5,4,EXCELENTE,17460,2023-11-12T00:00:00Z
2292,1,1,DEFICIENTE,5241182,2022-06-05T00:00:00Z
2293,3,4,MUY BUENO,7021646,2021-11-16T00:00:00Z
2294,4,4,EXCELENTE,16871,2023-05-21T00:00:00Z
2295,1,2,REGULAR,52139,2021-07-01T00:00:00Z
2296,1,1,DEFICIENTE,18282,2022-03-01T00:00:00Z
2297,5,5,EXCELENTE,16897,2023-07-28T00:00:00Z
2298,3,4,MUY BUENO,3991153,2023-09-22T00:00:00Z
2299,4,4,EXCELENTE,18052,2022-05-05T00:00:00Z
2300,3,2,ACEPTABLE,17260,2021-08-19T00:00:00Z
2301,5,4,EXCELENTE,17916,2022-02-05T00:00:00Z
2302,5,4,EXCELENTE,18198,2021-11-03T00:00:00Z
2303,1,1,DEFICIENTE,17654,2021-06-28T00:00:00Z
2304,2,2,ACEPTABLE,18370,2021-03-05T00:00:00Z
2305,2,3,ACEPTABLE,9269361,2021-02-13T00:00:00Z
2306,5,5,EXCELENTE,4795141,2022-04-28T00:00:00Z
2307,1,1,DEFICIENTE,16761,2023-01-03T00:00:00Z
2308,4,5,EXCELENTE,8799532,2023-04-13T00:00:00Z
2309,3,4,MUY BUENO,18062,2021-04-25T00:00:00Z
2310,1,1,DEFICIENTE,18562,2022-11-26T00:00:00Z
2311,2,3,ACEPTABLE,17735,2022-06-14T00:00:00Z
2312,2,2,ACEPTABLE,5246185,2022-02-09T00:00:00Z
2313,1,1,DEFICIENTE,17594,2023-01-14T00:00:00Z
2314,5,4,EXCELENTE,18483,2022-05-13T00:00:00Z
2315,2,1,REGULAR,16978,2023-05-02T00:00:00Z
2316,1,2,REGULAR,4749889,2021-01-08T00:00:00Z
2317,2,2,ACEPTABLE,17272,2022-04-16T00:00:00Z
2318,3,3,MUY BUENO,17089,2023-10-05T00:00:00Z
2319,1,1,DEFICIENTE,18215,2021-09-30T00:00:00Z
2320,4,4,EXCELENTE,18419,2022-04-02T00:00:00Z
2321,5,5,EXCELENTE,18543,2022-09-13T00:00:00Z
2322,3,4,MUY BUENO,18232,2023-12-26T00:00:00Z
2323,5,5,EXCELENTE,17445,2022-08-20T00:00:00Z
2324,5,5,EXCELENTE,16811,2022-12-08T00:00:00Z
2325,4,4,EXCELENTE,17035,2022-02-23T00:00:00Z
2326,2,2,ACEPTABLE,52115,2022-05-27T00:00:00Z
2327,1,2,REGULAR,18420,2022-10-18T00:00:00Z
2328,5,5,EXCELENTE,18215,2022-05-08T00:00:00Z
2329,3,4,MUY BUENO,17592,2021-10-10T00:00:00Z
2330,2,2,ACEPTABLE,18102,2021-11-11T00:00:00Z
2331,5,5,EXCELENTE,5237134,2022-06-07T00:00:00Z
2332,2,3,ACEPTABLE,18324,2022-01-20T00:00:00Z
2333,2,3,ACEPTABLE,5107830,2021-06-09T00:00:00Z
2334,5,4,EXCELENTE,18050,2021-10-06T00:00:00Z
2335,1,2,REGULAR,4985933,2021-02-17T00:00:00Z
2336,4,4,EXCELENTE,17445,2021-11-25T00:00:00Z
2337,5,5,EXCELENTE,18169,2023-03-25T00:00:00Z
2338,2,3,ACEPTABLE,8799551,2022-06-10T00:00:00Z
2339,5,5,EXCELENTE,52125,2023-08-23T00:00:00Z
2340,4,5,EXCELENTE,17144,2022-11-27T00:00:00Z
2341,2,1,REGULAR,7126585,2023-03-04T00:00:00Z
2342,2,1,REGULAR,17889,2022-05-13T00:00:00Z
2343,5,5,EXCELENTE,17520,2021-05-04T00:00:00Z
2344,2,1,REGULAR,5653965,2021-12-15T00:00:00Z
2345,3,2,ACEPTABLE,18327,2022-12-31T00:00:00Z
2346,4,5,EXCELENTE,17957,2022-08-15T00:00:00Z
2347,1,1,DEFICIENTE,4737855,2022-09-16T00:00:00Z
2348,3,4,MUY BUENO,17035,2021-02-22T00:00:00Z
2349,4,4,EXCELENTE,17257,2023-06-16T00:00:00Z
2350,5,5,EXCELENTE,16747,2023-07-29T00:00:00Z
2351,5,5,EXCELENTE,52050,2021-10-22T00:00:00Z
2352,4,4,EXCELENTE,18541,2022-04-24T00:00:00Z
2353,3,4,MUY BUENO,17532,2023-04-15T00:00:00Z
2354,4,5,EXCELENTE,16902,2022-12-15T00:00:00Z
2355,5,5,EXCELENTE,17464,2021-05-08T00:00:00Z
2356,4,5,EXCELENTE,3573048,2023-12-20T00:00:00Z
2357,3,2,ACEPTABLE,52122,2022-10-24T00:00:00Z
2358,2,1,REGULAR,5246193,2022-10-13T00:00:00Z
2359,4,5,EXCELENTE,7933003,2021-05-10T00:00:00Z
2360,2,1,REGULAR,17783,2021-09-04T00:00:00Z
2361,2,2,ACEPTABLE,18618,2021-02-08T00:00:00Z
2362,2,1,REGULAR,17057,2023-11-25T00:00:00Z
2363,3,2,ACEPTABLE,17052,2021-05-02T00:00:00Z
2364,5,4,EXCELENTE,7838836,2022-02-09T00:00:00Z
2365,4,3,MUY BUENO,7074478,2021-05-30T00:00:00Z
2366,4,5,EXCELENTE,8907324,2023-12-13T00:00:00Z
2367,1,1,DEFICIENTE,17414,2023-02-05T00:00:00Z
2368,3,3,MUY BUENO,3573053,2022-10-10T00:00:00Z
2369,2,1,REGULAR,17271,2022-01-29T00:00:00Z
2370,1,1,DEFICIENTE,16752,2022-10-16T00:00:00Z
2371,1,2,REGULAR,16660,2021-01-08T00:00:00Z
2372,5,4,EXCELENTE,17680,2023-09-06T00:00:00Z
2373,3,3,MUY BUENO,7162223,2023-12-12T00:00:00Z
2374,2,3,ACEPTABLE,18535,2022-03-17T00:00:00Z
2375,2,3,ACEPTABLE,17216,2021-02-04T00:00:00Z
2376,3,2,ACEPTABLE,17292,2021-10-15T00:00:00Z
2377,3,4,MUY BUENO,52195,2022-06-02T00:00:00Z
2378,4,4,EXCELENTE,52203,2021-01-18T00:00:00Z
2379,4,3,MUY BUENO,17820,2022-04-19T00:00:00Z
2380,3,4,MUY BUENO,17022,2021-10-31T00:00:00Z
2381,1,1,DEFICIENTE,18460,2021-11-19T00:00:00Z
2382,4,5,EXCELENTE,18351,2023-03-14T00:00:00Z
2383,4,4,EXCELENTE,18098,2022-02-24T00:00:00Z
2384,5,4,EXCELENTE,52162,2022-10-17T00:00:00Z
2385,3,2,ACEPTABLE,17802,2021-12-04T00:00:00Z
2386,2,1,REGULAR,16698,2023-11-16T00:00:00Z
2387,4,5,EXCELENTE,16676,2022-05-01T00:00:00Z
2388,5,5,EXCELENTE,8785368,2022-11-21T00:00:00Z
2389,5,4,EXCELENTE,16830,2021-01-28T00:00:00Z
2390,5,4,EXCELENTE,4738111,2023-06-20T00:00:00Z
2391,4,3,MUY BUENO,17520,2021-05-31T00:00:00Z
2392,1,1,DEFICIENTE,17908,2023-02-10T00:00:00Z
2393,3,3,MUY BUENO,17106,2021-06-22T00:00:00Z
2394,1,1,DEFICIENTE,8799633,2022-09-24T00:00:00Z
2395,4,3,MUY BUENO,18449,2021-09-12T00:00:00Z
2396,5,5,EXCELENTE,17218,2022-04-09T00:00:00Z
2397,1,1,DEFICIENTE,18344,2021-04-15T00:00:00Z
2398,3,2,ACEPTABLE,18196,2021-10-14T00:00:00Z
2399,3,4,MUY BUENO,18191,2021-05-22T00:00:00Z
2400,4,5,EXCELENTE,16699,2023-01-25T00:00:00Z
2401,4,5,EXCELENTE,5224222,2021-01-04T00:00:00Z
2402,3,3,MUY BUENO,52208,2021-11-30T00:00:00Z
2403,5,4,EXCELENTE,8799950,2021-02-01T00:00:00Z
2404,4,4,EXCELENTE,17532,2023-03-25T00:00:00Z
2405,4,4,EXCELENTE,17870,2021-02-24T00:00:00Z
2406,1,2,REGULAR,17965,2021-06-18T00:00:00Z
2407,4,5,EXCELENTE,52125,2021-09-26T00:00:00Z
2408,3,3,MUY BUENO,17325,2022-07-01T00:00:00Z
2409,2,1,REGULAR,5158861,2023-09-12T00:00:00Z
2410,2,2,ACEPTABLE,17502,2022-08-26T00:00:00Z
2411,3,4,MUY BUENO,17524,2021-08-28T00:00:00Z
2412,4,4,EXCELENTE,16994,2023-01-16T00:00:00Z
2413,4,3,MUY BUENO,17623,2021-10-11T00:00:00Z
2414,3,3,MUY BUENO,18423,2021-09-18T00:00:00Z
2415,4,4,EXCELENTE,17312,2023-11-29T00:00:00Z
2416,5,5,EXCELENTE,18496,2022-07-20T00:00:00Z
2417,1,2,REGULAR,5246186,2021-12-17T00:00:00Z
2418,2,1,REGULAR,7168609,2023-11-28T00:00:00Z
2419,2,1,REGULAR,52095,2023-01-14T00:00:00Z
2420,4,3,MUY BUENO,17525,2022-07-24T00:00:00Z
